2024-09-02 11:32:58 INFO  c.w.l.filter.AuthenticationFilter - In init method of authentication filter
2024-09-02 11:33:07 INFO  c.w.l.controller.LoginController - entered into login controller
2024-09-02 11:33:07 INFO  c.w.l.controller.LoginController - email Id in controller suresh.pillai@example.com SureshP@ss!
2024-09-02 11:33:07 INFO  c.w.l.r.impl.UserRepositoryImpl - Checking if email exists in database: suresh.pillai@example.com
2024-09-02 11:33:07 INFO  c.w.l.r.impl.UserRepositoryImpl - Email ID suresh.pillai@example.com exists in the database
2024-09-02 11:33:07 INFO  c.w.l.s.i.AuthenticationServiceImpl - user exists : true 
2024-09-02 11:33:07 INFO  c.w.l.r.impl.UserRepositoryImpl - password from db : SureshP@ss!
2024-09-02 11:33:07 INFO  c.w.l.s.i.AuthenticationServiceImpl - password match : true
2024-09-02 11:33:07 INFO  c.w.l.r.impl.UserRepositoryImpl - password from db : SureshP@ss!
2024-09-02 11:33:07 INFO  c.w.l.controller.LoginController - Login success with given credentials
2024-09-02 11:33:07 INFO  c.w.l.controller.LoginController - Path : /api/leave_management
2024-09-02 11:33:07 INFO  c.w.l.controller.MyAccountController - Email in Account Controller : suresh.pillai@example.com
2024-09-02 11:33:07 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Account information returned is {"employeeName":"Suresh Pillai","gender":"Male","mobileNumber":"9123456789","emailId":"suresh.pillai@example.com","employeeId":5,"managerName":"Ravi Shankar"} 
2024-09-02 11:33:07 INFO  c.w.l.controller.MyAccountController - account info in account controller : {"employeeName":"Suresh Pillai","gender":"Male","mobileNumber":"9123456789","emailId":"suresh.pillai@example.com","employeeId":5,"managerName":"Ravi Shankar"}
2024-09-02 11:33:13 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Extracting employee with email suresh.pillai@example.com existed in database 
2024-09-02 11:33:13 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Employee ID 5 exists in the database
2024-09-02 11:33:13 INFO  c.w.l.r.impl.LeaveRepositoryImpl - Retrieving leave summary with query SELECT L.LEAVE_ID, L.EMPLOYEE_ID,E.EMPLOYEE_NAME,L.LEAVE_TYPE,  L.FROM_DATE, L.TO_DATE, L.APPLIED_ON, L.LEAVE_DESCRIPTION, L.STATUS_OF_LEAVE FROM LEAVES L JOIN EMPLOYEES E ON E.EMPLOYEE_ID = L.EMPLOYEE_ID WHERE E.MANAGER_ID = ? ORDER BY L.FROM_DATE; 
2024-09-02 11:34:24 INFO  c.w.l.filter.AuthenticationFilter - Entered into doFilter method
2024-09-02 11:34:24 INFO  c.w.l.filter.AuthenticationFilter - Login page path: /api/leave_management/index.html
2024-09-02 11:34:24 INFO  c.w.l.filter.AuthenticationFilter - Request Path: /api/leave_management/my_leaves_tracker
2024-09-02 11:34:24 INFO  c.w.l.filter.AuthenticationFilter - User is logged in
2024-09-02 11:34:24 INFO  c.w.l.controller.LeavesController - user logged in with mail is suresh.pillai@example.com 
2024-09-02 11:34:24 INFO  c.w.l.service.impl.LeavesServiceImpl - Email id in leave service suresh.pillai@example.com
2024-09-02 11:34:24 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Extracting employee with email suresh.pillai@example.com existed in database 
2024-09-02 11:34:24 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Employee ID 5 exists in the database
2024-09-02 11:34:24 INFO  c.w.l.r.impl.LeaveRepositoryImpl - data sent as response [{"fromDate":"2024-09-01","appliedOn":"2024-08-27","leaveType":"Paternity Leave","toDate":"2024-09-03","leaveId":10,"leaveDescription":"Supporting partner after childbirth.","statusOfLeave":"Approved"}] 
2024-09-02 11:34:27 INFO  c.w.l.filter.AuthenticationFilter - Entered into doFilter method
2024-09-02 11:34:27 INFO  c.w.l.filter.AuthenticationFilter - Login page path: /api/leave_management/index.html
2024-09-02 11:34:27 INFO  c.w.l.filter.AuthenticationFilter - Request Path: /api/leave_management/my_team_leave_requests
2024-09-02 11:34:27 INFO  c.w.l.filter.AuthenticationFilter - User is logged in
2024-09-02 11:34:27 INFO  c.w.l.c.TeamLeavesController - user logged in with mail is suresh.pillai@example.com 
2024-09-02 11:34:27 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Extracting employee with email suresh.pillai@example.com existed in database 
2024-09-02 11:34:27 INFO  c.w.l.r.impl.EmployeeRepositoryImpl - Employee ID 5 exists in the database
2024-09-02 11:34:27 INFO  c.w.l.r.impl.LeaveRepositoryImpl - retrieving leave requests for a manager with query SELECT L.LEAVE_ID, L.EMPLOYEE_ID,E.EMPLOYEE_NAME,L.LEAVE_TYPE,  L.FROM_DATE, L.TO_DATE, L.APPLIED_ON, L.LEAVE_DESCRIPTION, L.STATUS_OF_LEAVE FROM LEAVES L JOIN EMPLOYEES E ON E.EMPLOYEE_ID = L.EMPLOYEE_ID WHERE E.MANAGER_ID = ? ORDER BY L.FROM_DATE; 
2024-09-02 11:34:27 ERROR c.w.l.r.impl.LeaveRepositoryImpl - Error occurred while retrieving all leaves requests of manager from database 
2024-09-02 11:34:27 ERROR c.w.l.r.impl.LeaveRepositoryImpl - with the query SELECT L.LEAVE_ID, L.EMPLOYEE_ID,E.EMPLOYEE_NAME,L.LEAVE_TYPE,  L.FROM_DATE, L.TO_DATE, L.APPLIED_ON, L.LEAVE_DESCRIPTION, L.STATUS_OF_LEAVE FROM LEAVES L JOIN EMPLOYEES E ON E.EMPLOYEE_ID = L.EMPLOYEE_ID WHERE E.MANAGER_ID = ? ORDER BY L.FROM_DATE;: Column 'TOTAL_DAYS_TAKEN' not found.
2024-09-02 11:34:27 INFO  c.w.l.r.impl.LeaveRepositoryImpl - All my leaves summary [] 
2024-09-02 11:34:29 INFO  c.w.l.r.impl.HolidayRepositoryImpl - Extracting all holidays from database
2024-09-02 11:34:30 INFO  c.w.l.r.impl.HolidayRepositoryImpl - Extracted holidays from the Holidays table as [{"holidayName":"Gandhi Jayanthi","day":"Wednesday","holidayDate":"2024-10-02"},{"holidayName":"Diwali","day":"Thursday","holidayDate":"2024-10-31"},{"holidayName":"Diwali","day":"Thursday","holidayDate":"2024-11-01"},{"holidayName":"Christmas","day":"Wednesday","holidayDate":"2024-12-25"}]
2024-09-02 11:34:30 INFO  c.w.l.controller.HolidayController - Holidays : [{"holidayName":"Gandhi Jayanthi","day":"Wednesday","holidayDate":"2024-10-02"},{"holidayName":"Diwali","day":"Thursday","holidayDate":"2024-10-31"},{"holidayName":"Diwali","day":"Thursday","holidayDate":"2024-11-01"},{"holidayName":"Christmas","day":"Wednesday","holidayDate":"2024-12-25"}]
